danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.204,0.956,7.0,-4.35,1.0,0.0896,0.00336,2.45e-05,0.303,0.557,156.108,audio_features,2NFyWtBM9pTPszMMmxjVOl,spotify:track:2NFyWtBM9pTPszMMmxjVOl,https://api.spotify.com/v1/tracks/2NFyWtBM9pTPszMMmxjVOl,https://api.spotify.com/v1/audio-analysis/2NFyWtBM9pTPszMMmxjVOl,218960.0,4.0,
0.774,0.645,2.0,-8.392,1.0,0.0342,0.0837,0.245,0.232,0.16,101.522,audio_features,1JRgjHLYHreosUMi8fv3Vu,spotify:track:1JRgjHLYHreosUMi8fv3Vu,https://api.spotify.com/v1/tracks/1JRgjHLYHreosUMi8fv3Vu,https://api.spotify.com/v1/audio-analysis/1JRgjHLYHreosUMi8fv3Vu,226407.0,4.0,
0.584,0.493,10.0,-10.079,0.0,0.0283,0.00485,0.508,0.106,0.293,128.009,audio_features,5sMw99s7oDvFZ9R368fct4,spotify:track:5sMw99s7oDvFZ9R368fct4,https://api.spotify.com/v1/tracks/5sMw99s7oDvFZ9R368fct4,https://api.spotify.com/v1/audio-analysis/5sMw99s7oDvFZ9R368fct4,380051.0,4.0,
0.595,0.81,4.0,-8.637,1.0,0.106,0.111,0.000204,0.392,0.451,174.015,audio_features,0VwxqxoUpWG4J3lLNzZSkz,spotify:track:0VwxqxoUpWG4J3lLNzZSkz,https://api.spotify.com/v1/tracks/0VwxqxoUpWG4J3lLNzZSkz,https://api.spotify.com/v1/audio-analysis/0VwxqxoUpWG4J3lLNzZSkz,186227.0,3.0,
0.46,0.662,7.0,-7.224,0.0,0.0426,0.661,0.0142,0.111,0.132,139.959,audio_features,0PGG2r9vGUgRCkLHW6BdbV,spotify:track:0PGG2r9vGUgRCkLHW6BdbV,https://api.spotify.com/v1/tracks/0PGG2r9vGUgRCkLHW6BdbV,https://api.spotify.com/v1/audio-analysis/0PGG2r9vGUgRCkLHW6BdbV,198531.0,4.0,
0.584,0.69,9.0,-8.016,1.0,0.0339,0.00288,0.00103,0.0991,0.315,91.005,audio_features,7GfmqzoXobuggrfWOYGjCe,spotify:track:7GfmqzoXobuggrfWOYGjCe,https://api.spotify.com/v1/tracks/7GfmqzoXobuggrfWOYGjCe,https://api.spotify.com/v1/audio-analysis/7GfmqzoXobuggrfWOYGjCe,209581.0,4.0,
0.305,0.396,5.0,-11.613,0.0,0.0297,0.663,0.563,0.108,0.283,114.936,audio_features,6mHtM5mlCyos7wlMhhqOYy,spotify:track:6mHtM5mlCyos7wlMhhqOYy,https://api.spotify.com/v1/tracks/6mHtM5mlCyos7wlMhhqOYy,https://api.spotify.com/v1/audio-analysis/6mHtM5mlCyos7wlMhhqOYy,290707.0,3.0,
0.218,0.585,5.0,-9.322,1.0,0.0305,0.191,0.81,0.122,0.204,180.716,audio_features,66uMejLZUlQRRusme83lzq,spotify:track:66uMejLZUlQRRusme83lzq,https://api.spotify.com/v1/tracks/66uMejLZUlQRRusme83lzq,https://api.spotify.com/v1/audio-analysis/66uMejLZUlQRRusme83lzq,304947.0,4.0,
0.594,0.816,1.0,-3.164,0.0,0.0369,0.0424,0.000108,0.141,0.526,122.902,audio_features,6Y6Z0DqcNrtN4Yh0a1iURq,spotify:track:6Y6Z0DqcNrtN4Yh0a1iURq,https://api.spotify.com/v1/tracks/6Y6Z0DqcNrtN4Yh0a1iURq,https://api.spotify.com/v1/audio-analysis/6Y6Z0DqcNrtN4Yh0a1iURq,186213.0,4.0,
0.648,0.936,0.0,-4.745,1.0,0.0762,0.085,6.93e-06,0.482,0.566,120.708,audio_features,1oEaUN7PYQRwcUF52U2M9S,spotify:track:1oEaUN7PYQRwcUF52U2M9S,https://api.spotify.com/v1/tracks/1oEaUN7PYQRwcUF52U2M9S,https://api.spotify.com/v1/audio-analysis/1oEaUN7PYQRwcUF52U2M9S,248880.0,4.0,
0.618,0.793,0.0,-5.711,1.0,0.0601,0.204,0.0154,0.126,0.459,101.015,audio_features,1JIWyERVO0MWPBC5W7OF2Q,spotify:track:1JIWyERVO0MWPBC5W7OF2Q,https://api.spotify.com/v1/tracks/1JIWyERVO0MWPBC5W7OF2Q,https://api.spotify.com/v1/audio-analysis/1JIWyERVO0MWPBC5W7OF2Q,347526.0,4.0,
0.74,0.687,4.0,-6.919,1.0,0.0928,0.0641,0.000154,0.0889,0.468,110.0,audio_features,0YIvorGFD49cBtuCuSmjKg,spotify:track:0YIvorGFD49cBtuCuSmjKg,https://api.spotify.com/v1/tracks/0YIvorGFD49cBtuCuSmjKg,https://api.spotify.com/v1/audio-analysis/0YIvorGFD49cBtuCuSmjKg,274320.0,4.0,
0.423,0.694,11.0,-5.538,1.0,0.0266,0.202,0.0274,0.706,0.306,149.988,audio_features,1K5bw0LkY4CmH285NsBjcd,spotify:track:1K5bw0LkY4CmH285NsBjcd,https://api.spotify.com/v1/tracks/1K5bw0LkY4CmH285NsBjcd,https://api.spotify.com/v1/audio-analysis/1K5bw0LkY4CmH285NsBjcd,224787.0,4.0,
0.463,0.876,7.0,-2.691,1.0,0.0405,0.00488,0.0048,0.103,0.641,163.97,audio_features,7MzvdbOFm84y0d0Zue6Ohq,spotify:track:7MzvdbOFm84y0d0Zue6Ohq,https://api.spotify.com/v1/tracks/7MzvdbOFm84y0d0Zue6Ohq,https://api.spotify.com/v1/audio-analysis/7MzvdbOFm84y0d0Zue6Ohq,198413.0,4.0,
