chart_position,song,artist,genre,release
1,Last Night,Morgan Wallen,Country,"February 2, 2023"
2,Flowers,Miley Cyrus,Pop,"January 12, 2023"
3,Fast Car,Luke Combs,Country,"March 24, 2023"
4,Peaches,Jack Black,Soundtrack,"April 7, 2023"
5,Eyes Closed,Ed Sheeran,Pop,"March 24, 2023"
6,Heart Like A Truck,Lainey Wilson,Country,"August 12, 2022"
7,NEED A FAVOR,Jelly Roll,Country,"December 9, 2022"
8,Calm Down,Rema & Selena Gomez,Pop,"August 25, 2022"
9,People Pt.2,Agust D & IU,K-Pop,"April 7, 2023"
10,Tanisha (Pump That),Rae Sremmurd,Hip-Hop / Rap,"March 10, 2023"
11,Thank God,Kane Brown & Katelyn Brown,Country,"September 9, 2022"
12,Anti-Hero,Taylor Swift,Pop,"October 21, 2022"
13,Torpedo,Rae Sremmurd,Hip-Hop / Rap,"December 30, 2022"
14,Thought You Should Know,Morgan Wallen,Country,"May 6, 2022"
15,Son Of A Sinner,Jelly Roll,Rock,"September 17, 2021"
16,Thank God I Do,Lauren Daigle,Pop,"March 10, 2023"
17,Thinkin’ Bout Me,Morgan Wallen,Country,"March 3, 2023"
18,Rock and a Hard Place,Bailey Zimmerman,Country,"June 10, 2022"
19,Waffle House,Jonas Brothers,Pop,
20,wait in the truck,HARDY & Lainey Wilson,Country,"August 26, 2022"
21,Favorite Song,Toosii,Hip-Hop / Rap,"February 17, 2023"
22,Players,Coi Leray,Hip-Hop / Rap,"November 30, 2022"
23,Separate Ways (Worlds Apart) [feat. Lzzy Hale],Daughtry,Rock,"January 5, 2023"
24,Dancin’ In The Country,Tyler Hubbard,Country,"August 19, 2022"
25,Butter,Boney James,Jazz,"January 1, 2009"
26,Ella Baila Sola,Eslabon Armado & Peso Pluma,Regional Mexicano,"March 17, 2023"
27,Like Crazy,Jimin,K-Pop,"March 24, 2023"
28,Unstoppable,Sia,Pop,"January 21, 2016"
29,Sure Thing,Miguel,R&B / Soul,"November 30, 2010"
30,Wasted On You,Morgan Wallen,Country,"January 8, 2021"
31,HAPPY,NF,Hip-Hop / Rap,"March 25, 2023"
32,You Proof,Morgan Wallen,Country,"May 13, 2022"
33,Like Crazy (English Version),Jimin,K-Pop,"March 24, 2023"
34,One Thing At A Time,Morgan Wallen,Country,"December 2, 2022"
35,NASTY (Extended Version),Russ,Hip-Hop / Rap,"March 31, 2023"
36,I Ain't Worried,OneRepublic,Pop,"May 27, 2022"
37,Something in the Orange (Z&E's Version),Zach Bryan,Country,"April 22, 2022"
38,Search & Rescue,Drake,Hip-Hop / Rap,"April 7, 2023"
39,Peaches (from The Super Mario Bros. Movie),Jack Black,Pop,"April 7, 2023"
40,Life’s Incredible Again,Gasteiz Big Band,Jazz,"June 21, 2016"
41,Like Crazy (UK Garage Remix),Jimin,K-Pop,"March 26, 2023"
42,Like Crazy (Deep House Remix),Jimin,K-Pop,"March 26, 2023"
43,Chasin' You,Morgan Wallen,Country,"April 27, 2018"
44,TRUSTFALL,P!nk,Pop,"January 27, 2023"
45,Love You Anyway,Luke Combs,Country,"February 10, 2023"
46,Tennessee Orange,Megan Moroney,Country,"September 1, 2022"
47,Like Crazy (Instrumental),Jimin,K-Pop,"March 26, 2023"
48,Human,Cody Johnson,Country,"October 8, 2021"
49,As It Was,Harry Styles,Pop,"March 31, 2022"
50,Beat You There,Will Dempsey,Country,"January 21, 2022"
51,HOPE,NF,Hip-Hop / Rap,"February 18, 2023"
52,Tennessee Whiskey,Chris Stapleton,Country,"April 28, 2015"
53,Kill Bill,SZA,R&B / Soul,"December 9, 2022"
54,Gold,Dierks Bentley,Country,"July 29, 2022"
55,Fighting Myself,LINKIN PARK,Alternative,"April 7, 2023"
56,Midnight Dreams,Ellie Goulding,Pop,"April 7, 2023"
57,La Bebe (Remix),Yng Lvcas & Peso Pluma,Pop in Spanish,"March 17, 2023"
58,Handle On You,Parker McCollum,Country,"August 5, 2022"
59,Yellow,Coldplay,Alternative,"June 26, 2000"
60,golden hour,JVKE,Pop,"July 15, 2022"
61,More the Victim,LINKIN PARK,Hard Rock,"April 7, 2023"
62,Bloody Mary,Lady Gaga,Pop,"January 1, 2011"
63,Made You Look,Meghan Trainor,Pop,"October 21, 2022"
64,Lost,LINKIN PARK,Alternative,"February 10, 2023"
65,Cowgirls (feat. ERNEST),Morgan Wallen,Country,"March 3, 2023"
66,5 Leaf Clover,Luke Combs,Country,"March 17, 2023"
67,Cool Cat,Queen,Rock,"January 1, 1982"
68,Unholy,Sam Smith & Kim Petras,Pop,"September 22, 2022"
69,All Of The Girls You Loved Before,Taylor Swift,Pop,"March 17, 2023"
70,Whiskey Glasses,Morgan Wallen,Country,"January 1, 2016"
71,Lavender Haze,Taylor Swift,Pop,"October 21, 2022"
72,Cinderella Snapped,Jax,Pop,"March 3, 2023"
73,Thunderstruck,AC/DC,Hard Rock,"September 10, 1990"
74,I AM,IVE,K-Pop,"April 10, 2023"
75,Escapism.,RAYE & 070 Shake,Pop,"October 14, 2022"
76,Nobody's Nobody,Brothers Osborne,Country,"April 7, 2023"
77,I'm Good (Blue),David Guetta & Bebe Rexha,Dance,"August 26, 2022"
78,Gratitude,Brandon Lake,Christian & Gospel,"August 28, 2020"
79,labour,Paris Paloma,Alternative Folk,"March 23, 2023"
80,Everywhere,Fleetwood Mac,Rock,"April 14, 1987"
81,Die For You (Remix),The Weeknd & Ariana Grande,R&B / Soul,"February 24, 2023"
82,Save Me,Jelly Roll,Rap,"June 25, 2020"
83,Oklahoma Smokeshow,Zach Bryan,Country,"July 15, 2022"
84,IF YOU GO DOWN (I'M GOIN' DOWN TOO),Kelsea Ballerini,Country,"September 16, 2022"
85,Last Night,Morgan Wallen,Country,"February 2, 2023"
86,First Things First,Consumed By Fire,Christian & Gospel,"July 15, 2022"
87,Jesus He Knows Me,Ghost,Heavy Metal,"April 10, 2023"
88,Hold My Hand,Lady Gaga,Pop,"May 3, 2022"
89,Straight and Narrow,Sam Barber,Country,"November 30, 2022"
90,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna,Pop,"October 28, 2022"
91,Heaven,Niall Horan,Pop,"March 29, 2023"
92,Mother,Meghan Trainor,Pop,"March 10, 2023"
93,"Boy's a liar, Pt. 2",PinkPantheress & Ice Spice,Pop,"February 3, 2023"
94,Shivers,Ed Sheeran,Pop,"September 9, 2021"
95,Healing Foot,LINKIN PARK,Hard Rock,"April 7, 2023"
96,This Is Our God,Phil Wickham,Christian & Gospel,"January 13, 2023"
97,'Til You Can't,Cody Johnson,Country,"June 11, 2021"
98,The Kind of Love We Make,Luke Combs,Country,"June 16, 2022"
99,PRC,Peso Pluma & Natanael Cano,Regional Mexicano,"January 24, 2023"
