danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.718,0.665,8,-10.369,1,0.101,0.917,0.000675,0.11,0.751,79.725,audio_features,628ZHvFEZSdHAbp99ghlPr,spotify:track:628ZHvFEZSdHAbp99ghlPr,https://api.spotify.com/v1/tracks/628ZHvFEZSdHAbp99ghlPr,https://api.spotify.com/v1/audio-analysis/628ZHvFEZSdHAbp99ghlPr,159000,4
0.605,0.544,2,-11.37,1,0.0682,0.823,0.00579,0.338,0.797,115.779,audio_features,4EoUALVwY4i7U6uKRhk8hr,spotify:track:4EoUALVwY4i7U6uKRhk8hr,https://api.spotify.com/v1/tracks/4EoUALVwY4i7U6uKRhk8hr,https://api.spotify.com/v1/audio-analysis/4EoUALVwY4i7U6uKRhk8hr,163627,4
0.232,0.216,10,-10.674,1,0.0314,0.936,4.93e-06,0.246,0.432,94.268,audio_features,5DTOOkooKFUvWj1XQTFa09,spotify:track:5DTOOkooKFUvWj1XQTFa09,https://api.spotify.com/v1/tracks/5DTOOkooKFUvWj1XQTFa09,https://api.spotify.com/v1/audio-analysis/5DTOOkooKFUvWj1XQTFa09,157573,3
0.426,0.0823,9,-16.24,0,0.0324,0.986,0.0787,0.204,0.3,92.165,audio_features,7EYea5rkgYsjMwm6gwmobx,spotify:track:7EYea5rkgYsjMwm6gwmobx,https://api.spotify.com/v1/tracks/7EYea5rkgYsjMwm6gwmobx,https://api.spotify.com/v1/audio-analysis/7EYea5rkgYsjMwm6gwmobx,165698,4
0.644,0.834,4,-6.473,1,0.0275,0.156,0.0,0.112,0.593,117.043,audio_features,1le5KVGTF1xWf2aUj7ruLy,spotify:track:1le5KVGTF1xWf2aUj7ruLy,https://api.spotify.com/v1/tracks/1le5KVGTF1xWf2aUj7ruLy,https://api.spotify.com/v1/audio-analysis/1le5KVGTF1xWf2aUj7ruLy,215547,4
0.552,0.957,7,-5.0,1,0.108,0.455,0.000161,0.0665,0.533,136.975,audio_features,6TD08uig72h348vwgry0kq,spotify:track:6TD08uig72h348vwgry0kq,https://api.spotify.com/v1/tracks/6TD08uig72h348vwgry0kq,https://api.spotify.com/v1/audio-analysis/6TD08uig72h348vwgry0kq,141493,4
0.372,0.962,6,-2.977,1,0.0747,8.83e-06,0.905,0.361,0.49,159.954,audio_features,5nD9Ct9lrkhf88giN4LmJh,spotify:track:5nD9Ct9lrkhf88giN4LmJh,https://api.spotify.com/v1/tracks/5nD9Ct9lrkhf88giN4LmJh,https://api.spotify.com/v1/audio-analysis/5nD9Ct9lrkhf88giN4LmJh,237453,4
0.318,0.958,10,-2.683,1,0.442,0.0603,4.68e-06,0.0981,0.3,163.089,audio_features,1dRAq8O1tvv7SDur3W3aue,spotify:track:1dRAq8O1tvv7SDur3W3aue,https://api.spotify.com/v1/tracks/1dRAq8O1tvv7SDur3W3aue,https://api.spotify.com/v1/audio-analysis/1dRAq8O1tvv7SDur3W3aue,206200,4
0.574,0.338,6,-11.376,1,0.042,0.845,0.0,0.165,0.493,67.008,audio_features,4hHbeIIKO5Y5uLyIEbY9Gn,spotify:track:4hHbeIIKO5Y5uLyIEbY9Gn,https://api.spotify.com/v1/tracks/4hHbeIIKO5Y5uLyIEbY9Gn,https://api.spotify.com/v1/audio-analysis/4hHbeIIKO5Y5uLyIEbY9Gn,199093,4
0.343,0.128,1,-14.76,1,0.054,0.863,5.06e-06,0.161,0.264,75.564,audio_features,2nQxJICWqqTFmHFyISjeAA,spotify:track:2nQxJICWqqTFmHFyISjeAA,https://api.spotify.com/v1/tracks/2nQxJICWqqTFmHFyISjeAA,https://api.spotify.com/v1/audio-analysis/2nQxJICWqqTFmHFyISjeAA,182427,4
0.723,0.285,1,-12.78,1,0.323,0.637,0.0,0.102,0.885,76.871,audio_features,2KgqyYJVg1QRc4qAgo6eUG,spotify:track:2KgqyYJVg1QRc4qAgo6eUG,https://api.spotify.com/v1/tracks/2KgqyYJVg1QRc4qAgo6eUG,https://api.spotify.com/v1/audio-analysis/2KgqyYJVg1QRc4qAgo6eUG,180733,4
0.465,0.277,9,-10.191,0,0.105,0.883,0.0,0.465,0.568,159.202,audio_features,4g0RZzAvzqOaVZcpuIHvra,spotify:track:4g0RZzAvzqOaVZcpuIHvra,https://api.spotify.com/v1/tracks/4g0RZzAvzqOaVZcpuIHvra,https://api.spotify.com/v1/audio-analysis/4g0RZzAvzqOaVZcpuIHvra,223853,4
0.383,0.221,5,-15.761,1,0.0349,0.87,5.21e-05,0.166,0.494,135.68,audio_features,0rqxIyevWUreUBe9A8jvW6,spotify:track:0rqxIyevWUreUBe9A8jvW6,https://api.spotify.com/v1/tracks/0rqxIyevWUreUBe9A8jvW6,https://api.spotify.com/v1/audio-analysis/0rqxIyevWUreUBe9A8jvW6,256160,4
0.632,0.605,8,-11.519,1,0.0997,0.682,2.13e-05,0.506,0.699,78.898,audio_features,6Pb6FbiOoD8o5XvFJE6NAy,spotify:track:6Pb6FbiOoD8o5XvFJE6NAy,https://api.spotify.com/v1/tracks/6Pb6FbiOoD8o5XvFJE6NAy,https://api.spotify.com/v1/audio-analysis/6Pb6FbiOoD8o5XvFJE6NAy,198067,4
0.444,0.42,2,-9.85,1,0.0495,0.723,3.77e-05,0.123,0.507,105.751,audio_features,1sSLIYNgwa5yAFglLYMed3,spotify:track:1sSLIYNgwa5yAFglLYMed3,https://api.spotify.com/v1/tracks/1sSLIYNgwa5yAFglLYMed3,https://api.spotify.com/v1/audio-analysis/1sSLIYNgwa5yAFglLYMed3,254440,4
