danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.951,0.573,0,-6.002,0,0.227,0.0667,0.0,0.119,0.42,105.052,audio_features,4TCG827sk5fDEmUvcQlStk,spotify:track:4TCG827sk5fDEmUvcQlStk,https://api.spotify.com/v1/tracks/4TCG827sk5fDEmUvcQlStk,https://api.spotify.com/v1/audio-analysis/4TCG827sk5fDEmUvcQlStk,211040,4
0.451,0.876,10,-5.205,0,0.414,0.261,0.0,0.098,0.227,87.306,audio_features,68MTDH8Kk4jBEV1ah0n89s,spotify:track:68MTDH8Kk4jBEV1ah0n89s,https://api.spotify.com/v1/tracks/68MTDH8Kk4jBEV1ah0n89s,https://api.spotify.com/v1/audio-analysis/68MTDH8Kk4jBEV1ah0n89s,227176,5
0.674,0.692,5,-7.337,1,0.262,0.574,0.0,0.228,0.801,147.03,audio_features,6Ylhyp6ZL9SY7EdaRZ0k9o,spotify:track:6Ylhyp6ZL9SY7EdaRZ0k9o,https://api.spotify.com/v1/tracks/6Ylhyp6ZL9SY7EdaRZ0k9o,https://api.spotify.com/v1/audio-analysis/6Ylhyp6ZL9SY7EdaRZ0k9o,249627,4
0.835,0.699,8,-5.405,0,0.277,0.00671,0.0,0.195,0.547,154.981,audio_features,4jVBIpuOiMj1crqd8LoCrJ,spotify:track:4jVBIpuOiMj1crqd8LoCrJ,https://api.spotify.com/v1/tracks/4jVBIpuOiMj1crqd8LoCrJ,https://api.spotify.com/v1/audio-analysis/4jVBIpuOiMj1crqd8LoCrJ,202795,4
0.857,0.583,1,-7.466,0,0.086,0.0899,0.0,0.204,0.443,132.01,audio_features,5TnLXSd4h6G06Fbt2ApOpa,spotify:track:5TnLXSd4h6G06Fbt2ApOpa,https://api.spotify.com/v1/tracks/5TnLXSd4h6G06Fbt2ApOpa,https://api.spotify.com/v1/audio-analysis/5TnLXSd4h6G06Fbt2ApOpa,162400,4
0.74,0.574,4,-6.938,1,0.245,0.411,0.0,0.262,0.33,149.762,audio_features,5Pt83OUaK3K9C2if4C5JOk,spotify:track:5Pt83OUaK3K9C2if4C5JOk,https://api.spotify.com/v1/tracks/5Pt83OUaK3K9C2if4C5JOk,https://api.spotify.com/v1/audio-analysis/5Pt83OUaK3K9C2if4C5JOk,140747,4
0.794,0.44,0,-7.861,0,0.131,0.0806,0.0,0.198,0.276,138.024,audio_features,0GwYkXgQdqY4dyRffHw3HT,spotify:track:0GwYkXgQdqY4dyRffHw3HT,https://api.spotify.com/v1/tracks/0GwYkXgQdqY4dyRffHw3HT,https://api.spotify.com/v1/audio-analysis/0GwYkXgQdqY4dyRffHw3HT,202454,4
0.853,0.514,0,-5.445,0,0.246,0.000909,0.0222,0.185,0.679,129.963,audio_features,5fO4ybFbomoSWPB3n2d6pe,spotify:track:5fO4ybFbomoSWPB3n2d6pe,https://api.spotify.com/v1/tracks/5fO4ybFbomoSWPB3n2d6pe,https://api.spotify.com/v1/audio-analysis/5fO4ybFbomoSWPB3n2d6pe,162527,4
0.784,0.486,5,-6.497,0,0.0475,0.0538,0.497,0.101,0.0894,110.964,audio_features,4lH6nENd1y81jp7Yt9lTBX,spotify:track:4lH6nENd1y81jp7Yt9lTBX,https://api.spotify.com/v1/tracks/4lH6nENd1y81jp7Yt9lTBX,https://api.spotify.com/v1/audio-analysis/4lH6nENd1y81jp7Yt9lTBX,265996,4
0.73,0.643,6,-7.811,0,0.0984,8.47e-05,0.0,0.203,0.492,141.961,audio_features,4VHkjPgAis9JNfc1URn7zZ,spotify:track:4VHkjPgAis9JNfc1URn7zZ,https://api.spotify.com/v1/tracks/4VHkjPgAis9JNfc1URn7zZ,https://api.spotify.com/v1/audio-analysis/4VHkjPgAis9JNfc1URn7zZ,186018,4
0.597,0.716,6,-7.414,1,0.141,0.0159,0.0,0.265,0.64,158.127,audio_features,34axCSujRVT7YWmDvisjdQ,spotify:track:34axCSujRVT7YWmDvisjdQ,https://api.spotify.com/v1/tracks/34axCSujRVT7YWmDvisjdQ,https://api.spotify.com/v1/audio-analysis/34axCSujRVT7YWmDvisjdQ,133747,4
0.788,0.603,5,-6.959,0,0.1,0.00439,0.000232,0.144,0.216,142.943,audio_features,0Pq8CSHDXInMK8atOkWSAv,spotify:track:0Pq8CSHDXInMK8atOkWSAv,https://api.spotify.com/v1/tracks/0Pq8CSHDXInMK8atOkWSAv,https://api.spotify.com/v1/audio-analysis/0Pq8CSHDXInMK8atOkWSAv,181440,4
0.608,0.814,6,-6.466,0,0.447,0.0316,0.0,0.0959,0.654,167.962,audio_features,0pO1aFOH5a2PmAIMbcsnOy,spotify:track:0pO1aFOH5a2PmAIMbcsnOy,https://api.spotify.com/v1/tracks/0pO1aFOH5a2PmAIMbcsnOy,https://api.spotify.com/v1/audio-analysis/0pO1aFOH5a2PmAIMbcsnOy,137143,4
0.597,0.483,0,-11.673,0,0.632,0.362,0.000138,0.17,0.285,124.452,audio_features,4a14AFVG1iMsLJnT4wj5Up,spotify:track:4a14AFVG1iMsLJnT4wj5Up,https://api.spotify.com/v1/tracks/4a14AFVG1iMsLJnT4wj5Up,https://api.spotify.com/v1/audio-analysis/4a14AFVG1iMsLJnT4wj5Up,154932,5
0.848,0.805,7,-4.359,1,0.286,0.0238,1.54e-06,0.167,0.828,141.127,audio_features,3O0W0PorDwqsEuZRl7A9Pi,spotify:track:3O0W0PorDwqsEuZRl7A9Pi,https://api.spotify.com/v1/tracks/3O0W0PorDwqsEuZRl7A9Pi,https://api.spotify.com/v1/audio-analysis/3O0W0PorDwqsEuZRl7A9Pi,131115,4
0.934,0.694,9,-4.455,0,0.175,0.117,0.0,0.239,0.464,129.028,audio_features,0iPb0dxCtjFcmFa2ElfBJ5,spotify:track:0iPb0dxCtjFcmFa2ElfBJ5,https://api.spotify.com/v1/tracks/0iPb0dxCtjFcmFa2ElfBJ5,https://api.spotify.com/v1/audio-analysis/0iPb0dxCtjFcmFa2ElfBJ5,182326,4
0.932,0.547,0,-7.787,0,0.333,0.0388,0.0,0.0924,0.695,94.998,audio_features,4sjiIpEv617LDXaidKioOI,spotify:track:4sjiIpEv617LDXaidKioOI,https://api.spotify.com/v1/tracks/4sjiIpEv617LDXaidKioOI,https://api.spotify.com/v1/audio-analysis/4sjiIpEv617LDXaidKioOI,176640,4
