chart_position,song,artist,genre,release
1,Last Night,Morgan Wallen,Country,"February 2, 2023"
2,Flowers,Miley Cyrus,Pop,"January 12, 2023"
3,Fast Car,Luke Combs,Country,"March 24, 2023"
4,Thank God I Do,Lauren Daigle,Pop,"March 10, 2023"
5,Like Crazy (Deep House Remix),Jimin,K-Pop,"March 26, 2023"
6,Like Crazy (UK Garage Remix),Jimin,K-Pop,"March 26, 2023"
7,Like Crazy (Instrumental),Jimin,K-Pop,"March 26, 2023"
8,Like Crazy (English Version),Jimin,K-Pop,"March 24, 2023"
9,FLOWER,JISOO,K-Pop,
10,Calm Down,Rema & Selena Gomez,Pop,"August 25, 2022"
11,Like Crazy,Jimin,K-Pop,"March 24, 2023"
12,You Say,Lauren Daigle,Christian & Gospel,"July 13, 2018"
13,Anti-Hero,Taylor Swift,Pop,"October 21, 2022"
14,Heart Like A Truck,Lainey Wilson,Country,"August 12, 2022"
15,Eyes Closed,Ed Sheeran,Pop,"March 24, 2023"
16,Thinkin’ Bout Me,Morgan Wallen,Country,"March 3, 2023"
17,Master of War,Peyton Parrish,Heavy Metal,
18,Players,Coi Leray,Hip-Hop / Rap,"November 30, 2022"
19,Thought You Should Know,Morgan Wallen,Country,"May 6, 2022"
20,Thank God,Kane Brown & Katelyn Brown,Country,"September 9, 2022"
21,TRUSTFALL,P!nk,Pop,"January 27, 2023"
22,Red Ruby Da Sleeze (Sped Up) [feat. Xxtristanxo & Speed Radio],"Nicki Minaj, Xxtristanxo & Speed Radio",Hip-Hop / Rap,"March 30, 2023"
23,Growin' Up and Gettin' Old,Luke Combs,Country,"January 27, 2023"
24,God's Country,Blake Shelton,Country,"March 29, 2019"
25,Rock and a Hard Place,Bailey Zimmerman,Country,"June 10, 2022"
26,Love You Anyway,Luke Combs,Country,"February 10, 2023"
27,Fighting Myself,LINKIN PARK,Alternative,
28,72 Seasons,Metallica,Heavy Metal,"March 30, 2023"
29,Rescue,Lauren Daigle,Christian & Gospel,"September 7, 2018"
30,labour,Paris Paloma,Alternative Folk,"March 23, 2023"
31,5 Leaf Clover,Luke Combs,Country,"March 17, 2023"
32,wait in the truck,HARDY & Lainey Wilson,Country,"August 26, 2022"
33,I Ain't Worried,OneRepublic,Pop,"May 27, 2022"
34,"Set Me Free, Pt. 2",Jimin,K-Pop,"March 17, 2023"
35,Kill Bill,SZA,R&B / Soul,"December 9, 2022"
36,Face-off,Jimin,K-Pop,"March 24, 2023"
37,Jesus and Jesse James,Brandon Davis,Country,
38,Favorite Song,Toosii,Hip-Hop / Rap,"February 17, 2023"
39,Unstoppable,Sia,Pop,"January 21, 2016"
40,Wasted On You,Morgan Wallen,Country,"January 8, 2021"
41,One Thing At A Time,Morgan Wallen,Country,"December 2, 2022"
42,Alone,Jimin,K-Pop,"March 24, 2023"
43,NEED A FAVOR,Jelly Roll,Country,"December 9, 2022"
44,It Was Always You,Daisy Jones,Rock,"March 30, 2023"
45,Interlude : Dive,Jimin,K-Pop,"March 24, 2023"
46,All Eyes On Me,JISOO,K-Pop,
47,As It Was,Harry Styles,Pop,"March 31, 2022"
48,Chasin' You,Morgan Wallen,Country,"April 27, 2018"
49,Waiting,Lauren Daigle,Pop,
50,Sure Thing,Miguel,R&B / Soul,"November 30, 2010"
51,Something in the Orange (Z&E's Version),Zach Bryan,Country,"April 22, 2022"
52,NASTY,Russ,Hip-Hop / Rap,"March 17, 2023"
53,All Of The Girls You Loved Before,Taylor Swift,Pop,"March 17, 2023"
54,In Jesus Name (God Of Possible),Katy Nichole,Christian & Gospel,"January 26, 2022"
55,Made You Look,Meghan Trainor,Pop,"October 21, 2022"
56,Tennessee Whiskey,Chris Stapleton,Country,"April 28, 2015"
57,Everywhere,Fleetwood Mac,Rock,"April 14, 1987"
58,Sounds Like Something I'd Do,Drake Milligan,Country,"July 23, 2021"
59,VOID,Melanie Martinez,Alternative,
60,You Proof,Morgan Wallen,Country,"May 13, 2022"
61,Son Of A Sinner,Jelly Roll,Rock,"September 17, 2021"
62,Red Ruby Da Sleeze (Sped Up) [feat. Xxtristanxo & Speed Radio],"Nicki Minaj, Xxtristanxo & Speed Radio",Hip-Hop / Rap,"March 30, 2023"
63,Red Ruby Da Sleeze,Nicki Minaj,Hip-Hop / Rap,"March 30, 2023"
64,Handle On You,Parker McCollum,Country,"August 5, 2022"
65,Dancin’ In The Country,Tyler Hubbard,Country,"August 19, 2022"
66,"Boy's a liar, Pt. 2",PinkPantheress & Ice Spice,Pop,"February 3, 2023"
67,Hold My Hand,Lady Gaga,Pop,"May 3, 2022"
68,Hold On To Me,Lauren Daigle,Christian & Gospel,"February 26, 2021"
69,You Raise Me Up,Josh Groban,Pop,"November 11, 2003"
70,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna,Pop,"October 28, 2022"
71,Escapism.,RAYE & 070 Shake,Pop,"October 14, 2022"
72,Unholy,Sam Smith & Kim Petras,Pop,"September 22, 2022"
73,I'm Good (Blue),David Guetta & Bebe Rexha,Dance,"August 26, 2022"
74,Out of My Head,Fastball,Alternative,"March 10, 1998"
75,Lost,LINKIN PARK,Alternative,"February 10, 2023"
76,Gratitude,Brandon Lake,Christian & Gospel,"August 28, 2020"
77,Cowgirls (feat. ERNEST),Morgan Wallen,Country,"March 3, 2023"
78,"Going, Going, Gone",Luke Combs,Country,"June 24, 2022"
79,Bloody Mary,Lady Gaga,Pop,"January 1, 2011"
80,Die For You (Remix),The Weeknd & Ariana Grande,R&B / Soul,"February 24, 2023"
81,Eyes Closed,Ed Sheeran,Pop,"March 24, 2023"
82,This Is Our God,Phil Wickham,Christian & Gospel,"January 13, 2023"
83,I Wrote The Book,Morgan Wallen,Country,"February 2, 2023"
84,Mother,Meghan Trainor,Pop,"March 10, 2023"
85,God Is In This Story,Katy Nichole & Big Daddy Weave,Christian & Gospel,"June 24, 2022"
86,TQG,KAROL G & Shakira,Latin Urban,"February 24, 2023"
87,10:35,Tiësto & Tate McRae,Dance,"November 3, 2022"
88,ICU,Coco Jones,R&B / Soul,"October 21, 2022"
89,golden hour,JVKE,Pop,"July 15, 2022"
90,Life's Incredible Again,Michael Giacchino,Pop,"January 1, 2004"
91,Look At Us Now (Honeycomb),Daisy Jones & The Six,Rock,"February 22, 2023"
92,Just Pretend,Bad Omens,Heavy Metal,"February 25, 2022"
93,"Forever and Ever, Amen",Randy Travis,Country,"April 4, 1987"
94,Just Give Me a Reason (feat. Nate Ruess),P!nk,Pop,"September 14, 2012"
95,Lavender Haze,Taylor Swift,Pop,"October 21, 2022"
96,Tennessee Orange,Megan Moroney,Country,"September 1, 2022"
97,BESO,ROSALÍA & Rauw Alejandro,Pop in Spanish,"March 24, 2023"
98,Lavender Haze (Acoustic Version),Taylor Swift,Pop,
99,Whiskey Glasses,Morgan Wallen,Country,"January 1, 2016"
100,Bonjour,Zoey Dollaz,Hip-Hop / Rap,"March 24, 2023"
