song,artist,uri
Take Me To Church,Hozier,spotify:track:7dS5EaCoMnN7DzlpT6aRn2
Cooler Than Me - Single Mix,Mike Posner,spotify:track:2V4bv1fNWfTcyRJKmej6Sj
See You Again (feat. Kali Uchis),"Tyler, The Creator",spotify:track:7KA4W4McWYRpgf0fWsJZWB
Pompeii,Bastille,spotify:track:3gbBpTdY8lnQwqxNCcf795
Hips Don't Lie (feat. Wyclef Jean),Shakira,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V
Hall of Fame (feat. will.i.am),The Script,spotify:track:7wMq5n8mYSKlQIGECKUgTX
Back Where I Belong (feat. Avicii),Otto Knows,spotify:track:78W8wiUIlQ2SnWY9TVowKZ
The Heart Wants What It Wants,Selena Gomez,spotify:track:2jcPoPin36hyNRSi4ZsqeB
Dynamite,Taio Cruz,spotify:track:2CEgGE6aESpnmtfiZwYlbV
Bumpy Ride,Mohombi,spotify:track:0tBRo4P60DgKmg4jt48upm
Danza Kuduro (feat. Don Omar),Lucenzo,spotify:track:1kAZhbcsXqfUjnVeqPywn2
Syypää sun hymyyn (feat. Yasmine Yamajako),Cheek,spotify:track:2N2QvMYwyYHE8V4KZbbG4i
Whistle,Flo Rida,spotify:track:0ltBH1JNzSvQJPjJpvTu9B
Girlfriend,Avril Lavigne,spotify:track:5HbCnVLXRyZVxnreOPgJCK
Baby,Justin Bieber,spotify:track:4NFhtFE68cXUrfbne8JE2c
I Cry,Flo Rida,spotify:track:5HE3z4Ew7wZ91l3ZOpGKa4
Coconut Tree,Mohombi,spotify:track:5L9THbmMKB6ZlHlMgzaXHf
One Less Lonely Girl,Justin Bieber,spotify:track:7qUcqYzOtfZe65bednDxmz
Romeo ja Julia (feat. Sophie),Pikku G,spotify:track:0seHreoI3kwp38OlEgLLnT
Don't You Worry Child - Radio Edit,Swedish House Mafia,spotify:track:5DcPOPPUnNhyPYbTi2aWjR
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,spotify:track:3bidbhpOYeV4knp8AIu8Xn
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,spotify:track:1HfPcQ3c2HyGeID3u1lmCa
Radioactive,Imagine Dragons,spotify:track:6Ep6BzIOB9tz3P4sWqiiAB
Whistle,Flo Rida,spotify:track:3bC1ahPIYt1btJzSSEyyrF
I Need Your Love (feat. Ellie Goulding),Calvin Harris,spotify:track:05SBRd4fXgn8FX7bf8BCAE
Timber (feat. Ke$ha),Pitbull,spotify:track:3cHyrEgdyYRjgJKSOiOtcS
Scream & Shout,will.i.am,spotify:track:2iJuuzV8P9Yz0VSurttIV5
Wake Me Up - Radio Edit,Avicii,spotify:track:6g1NlCpW7fgqDnWbCCDrHl
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,spotify:track:4YMqbFcDIFiCBd02PzUBcM
Play Hard (feat. Ne-Yo & Akon),David Guetta,spotify:track:5YPMEOJ58kfl56VHxTgwx3
Superheroes,The Script,spotify:track:37sINbJZcFdHFAsVNsPq1i
I Cry,Flo Rida,spotify:track:3zrYNl1aMdFrQkcOjKVr5u
Counting Stars,OneRepublic,spotify:track:1QzFhzIOW7CyRJLpmq5CM0
Gangnam Style (강남스타일),PSY,spotify:track:1R2SZUOGJqqBiLuvwKOT2Y
Feel This Moment (feat. Christina Aguilera),Pitbull,spotify:track:4yOn1TEcfsKHUJCL2h1r8I
Capsize,FRENSHIP,spotify:track:3GBlLqIYgB8zWaeWDNJzdh
Magical,Tungevaag,spotify:track:43lwHSTEexXRVVeXZtAtfi
Bleeding Love,Leona Lewis,spotify:track:6LtPIXlIzPOTF8vTecYjRe
Drop That Low (When I Dip),Tujamo,spotify:track:48kF7W23OIcVBsNY5UesuQ
Perfect Strangers,Jonas Blue,spotify:track:1CUVN2kn7mW5FjkqXTR2W1
Thinking About You,Axwell /\ Ingrosso,spotify:track:3eBwnjEe60kDJAMlFg1ewf
Please Don't Go,Joel Adams,spotify:track:3cNjgVBKTJ1SvKhunrCdVy
Lions in the Wild,Martin Garrix,spotify:track:6F1kPSgdnlSzZRfskE9vaV
Never Be Like You,Flume,spotify:track:12REd1n8PeiHHWOh066tpr
Treat You Better,Shawn Mendes,spotify:track:53B2XmmjJ9rriW1qciMBeX
Heathens,Twenty One Pilots,spotify:track:6i0V12jOa3mr6uu4WYhUBr
Send My Love (To Your New Lover),Adele,spotify:track:3KZcrZ36LW9RnChK1iIkth
When We Were Young,Adele,spotify:track:0cj2joJcY6b4XSRfj2eZOl
Someone Like You,Adele,spotify:track:6QPKYGnAW9QozVz2dSWqRg
Set Fire to the Rain,Adele,spotify:track:5PKWUDfQFtc5qqo8cs1gQp
Apologize,OneRepublic,spotify:track:1NrJYpdAi7uosDRPmSYrsG
Onnelliseksi,Juju,spotify:track:6hvNLxrHBdR1qzdrKasCPE
I See Fire,Ed Sheeran,spotify:track:5pY3ovFxbvAg7reGZjJQSp
Chasing Cars,Snow Patrol,spotify:track:11bD1JtSjlIgKgZG2134DZ
Say Something,A Great Big World,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N
Go Hard or Go Home,Wiz Khalifa,spotify:track:2QJnTfMpNG05KFf2E3gVIJ
Läikkyy,Arttu Lindeman,spotify:track:1gou2U6ZcLKXLBC3MYVtEu
1972,Anssi Kela,spotify:track:4htrHrq1AB38vprDEha0hv
Toxic,Britney Spears,spotify:track:26nr9XnFCYWxBTIP7HyWXg
Älä herätä mua unesta,Mikael Gabriel,spotify:track:02RaNOB5CIiXAhgvLE6Xp0
Spaceman,Aste,spotify:track:3PfG2rMOU9HglycfbIC4yM
Only One,Aste,spotify:track:1ttYNQjND5nBtUnpNMlLQQ
Come & Get It,Selena Gomez,spotify:track:5U2m76qAMdr3gXI0g6ptlG
Wherever I Go,OneRepublic,spotify:track:7kUtJKGZzLNgIkq1Galkt0
Heatwave (feat. Akon),Robin Schulz,spotify:track:2KMJ5CoxY4ECG9TZyNWmpv
Hubba Bubba,Teflon Brothers,spotify:track:2hQVEDz4hG8RGmzSPKTDrT
I'm In Control,AlunaGeorge,spotify:track:16NOHRm0OEjmg55OZAxVmV
Arcade - Radio Edit,Dimitri Vegas & Like Mike,spotify:track:7FKjWBgGgCGYoRRDIhp4bR
She Doesn't Mind,Sean Paul,spotify:track:4odiyU3myG29Ld0wurMfE8
Satellites - Radio Edit,Bobby Burns,spotify:track:3peFUAm5l0kWIJXy7Q8GYP
Calling (Lose My Mind) - Radio Edit,Sebastian Ingrosso,spotify:track:34NNeV9jfgNgaALgUr0u9V
I Just Had Sex,The Lonely Island,spotify:track:1OmxpKVSvn0LGcM3SQS4OV
Angels Unite (Radio Edit),Scarlet,spotify:track:3UFoVEy7B2yqUMB21yyJm2
Gypsy Drop - Radio Edit,Filip Jenven,spotify:track:11xsm79HwpWV1C1lMXoVo9
Bigroom Blitz - Radio Mix,Scooter,spotify:track:1Xcww2gldd5hN6WvGBsbFT
Satisfied (feat. VASSY) - Original Mix,Showtek,spotify:track:6LU68pNqUguPOsjPIaJwo6
Gold Skies - Original Mix,Sander van Doorn,spotify:track:4zXQSm5XIkcn5qtmtbwO9O
Love Louder - Style Of Eye Remix,John Martin,spotify:track:2WEiz65hkQPlThgncVH34T
Forbidden Voices,Martin Garrix,spotify:track:2BF1X5nkYYSb0AUTRaGkDm
Salsa Tequila,Anders Nilsen,spotify:track:4WRjqQ6sx5qIcddaIxNTfF
All I Ever Wanted - Radio Edit,Basshunter,spotify:track:3uoqlATyV5IWOhy0LBF7k1
Memories (feat. Kid Cudi),David Guetta,spotify:track:4iMu9le3ytNO3tvgVpQANx
Trumpsta (Djuro Remix) [feat. Treyy G],Contiez,spotify:track:3YcXXjmC9cM5Y2x3jUps0p
Moonlight Shadow,ItaloBrothers,spotify:track:6T9vhWadqtG3J3jfYf8kcI
Colours Of The Rainbow,ItaloBrothers,spotify:track:4fWcyB6ik13xv6QFmORi0H
Honey,Evelina,spotify:track:6d0eTPJ3JZTwOAwLdl0hOJ
Pämppää,Teflon Brothers,spotify:track:6xQjgKUjjKgLDfOibSRyRM
Viva La Vida,Coldplay,spotify:track:1mea3bSkSGXuIRvnydlB5b
If I Lose Myself,OneRepublic,spotify:track:0ett0qCHbl0vdSRFhRSkMc
In2,WSTRN,spotify:track:3WEmAizxrtQwXEJQRwCrK1
Somebody to Die For,Hurts,spotify:track:0GDz2tPdh6FbxJxM75SQB4
Jai Ho! (You Are My Destiny),A.R. Rahman,spotify:track:1domCrjxwdTsPWqVn2Ivc0
Don't Hold Your Breath,Nicole Scherzinger,spotify:track:7pAq1IXYZpL42HchCminu6
When I Grow Up,The Pussycat Dolls,spotify:track:7hFXQCDPgHhZQrC3vSM1o4
I Gotta Feeling,Black Eyed Peas,spotify:track:4vp2J1l5RD4gMZwGFLfRAu
Halo,Beyoncé,spotify:track:4JehYebiI9JE8sR8MisGVb
Cry Me a River,Justin Timberlake,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5
"You're Gonna Go Far, Kid",The Offspring,spotify:track:1FMm3wG5WOhi7js35KR7Ea
So What,P!nk,spotify:track:6qYGUxPjQt5PJtWdiNppZx
"Whenever, Wherever",Shakira,spotify:track:0RJWhctsc1G1Hg3Ov2th7x
Bleeding Love,Leona Lewis,spotify:track:7wZUrN8oemZfsEd1CGkbXE
Milkshake,Kelis,spotify:track:2cMTIlktg3M9mXYqCPqw1J
Stronger (What Doesn't Kill You),Kelly Clarkson,spotify:track:35a4Kzyo9XY4FI9FaSIzzF
Say OK,Vanessa Hudgens,spotify:track:5cfPxiul0cdhPYD2uzuQSg
Lovesick,Emily Osment,spotify:track:2w55BLEMG97Smym2V6itnx
Wherever I Go,Hannah Montana,spotify:track:3lWEKwBNo9IbE9pdKC5NU6
I'll Always Remember You,Hannah Montana,spotify:track:0tldYKX9sQsDs41lJxdcp8
A Year Without Rain,Selena Gomez & The Scene,spotify:track:0lYS1tJg3r6ATe9bRPB0Hu
Beauty And A Beat,Justin Bieber,spotify:track:0KTsmr6JOuhxZuiXUha1xC
International Love (feat. Chris Brown),Pitbull,spotify:track:62zFEHfAYl5kdHYOivj4BC
Clouds (feat. A.J. McLean),Redrama,spotify:track:1RK5DiXAYnRZk1fEjnytdp
Turn Me On (feat. Nicki Minaj),David Guetta,spotify:track:6T27IN7Ai94BeDv6PPCmoC
Sweat (Snoop Dogg vs. David Guetta) - David Guetta Remix,Snoop Dogg,spotify:track:7LpT54RUvN0IvDGIxiwHwS
Märkää,Petri Nygård,spotify:track:6wPsHct4yJfplE3nA9qvac
Selvä päivä - feat. Lord Est,Petri Nygård,spotify:track:107ct6t9kseeQWTyeRgcdO
Good Ol' Days,The Script,spotify:track:629MXzH7txguTIePdNXOWY
Home,Dzeko & Torres,spotify:track:12HmJ4Q5ksOGgaqKgZLvdE
Supersankari,Laura Närhi,spotify:track:3yXMgnyHN4o5bL68RfWRpC
Don't Look Down (feat. Usher),Martin Garrix,spotify:track:5M9jOReAKGZ2AttVefFjTY
Overtime - Vicetone Remix,Cash Cash,spotify:track:4qwucEZidHAAkcN0BemkoU
Unbreakable,Benjamin,spotify:track:5dajiBFiQxyOkmFglyTkvg
Moon Boots,The Script,spotify:track:1MkiqU0AvKhjOZdL6I7NQS
If You Could See Me Now,The Script,spotify:track:6EzSy7WxNCazx3csu7lxdV
Everytime - Hi-Bias Radio Remix,Britney Spears,spotify:track:4b8ssS2AaEUIzOCDlH0aOT
Gimme More,Britney Spears,spotify:track:6ic8OlLUNEATToEFU3xmaH
E.T.,Katy Perry,spotify:track:36ux3YuUsGTWPT8fXclS45
We R Who We R,Kesha,spotify:track:5jaz6aiRknA63NIYWdbr2O
The Man Who Never Lied,Maroon 5,spotify:track:6tWkTeLF2WmjTA1cyS2QEp
Che Guevara,Happoradio,spotify:track:5gsQegOEB7admETkL6ckUL
Maps,Maroon 5,spotify:track:7xEMGs0GbdfLwVw0Bn5D9H
Troublemaker (feat. Flo Rida),Olly Murs,spotify:track:4jOtC832PyIXlCVPRElfQu
Written in the Stars (feat. Eric Turner),Tinie Tempah,spotify:track:5m5TRf7ggoguXtcXQGprN4
Bring Me To Life,Evanescence,spotify:track:646J2jOtUe4Jflrmh6JFjN
Hung Up,Madonna,spotify:track:70VjMtwhm3Q2HBQeJnPfmh
