song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,id,cluster
Take Me To Church,Hozier,0.566,0.664,4.0,-5.303,0.0,0.0464,0.634,0.0,0.116,0.437,128.945,241688.0,4.0,spotify:track:7dS5EaCoMnN7DzlpT6aRn2,7dS5EaCoMnN7DzlpT6aRn2,10
Cooler Than Me - Single Mix,Mike Posner,0.768,0.82,7.0,-4.63,0.0,0.0474,0.179,0.0,0.689,0.625,129.965,213293.0,4.0,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,2V4bv1fNWfTcyRJKmej6Sj,1
See You Again (feat. Kali Uchis),"Tyler, The Creator",0.558,0.559,6.0,-9.222,1.0,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387.0,4.0,spotify:track:7KA4W4McWYRpgf0fWsJZWB,7KA4W4McWYRpgf0fWsJZWB,11
Pompeii,Bastille,0.679,0.715,9.0,-6.383,1.0,0.0407,0.0755,0.0,0.271,0.571,127.435,214148.0,4.0,spotify:track:3gbBpTdY8lnQwqxNCcf795,3gbBpTdY8lnQwqxNCcf795,11
Hips Don't Lie (feat. Wyclef Jean),Shakira,0.778,0.824,10.0,-5.892,0.0,0.0707,0.284,0.0,0.405,0.758,100.024,218093.0,4.0,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,3ZFTkvIE7kyPt6Nu3PEa7V,1
Hall of Fame (feat. will.i.am),The Script,0.421,0.873,10.0,-4.343,1.0,0.0564,0.0654,0.0,0.123,0.629,84.786,202533.0,4.0,spotify:track:7wMq5n8mYSKlQIGECKUgTX,7wMq5n8mYSKlQIGECKUgTX,11
Back Where I Belong (feat. Avicii),Otto Knows,0.497,0.865,0.0,-3.19,1.0,0.0644,0.0306,0.0679,0.443,0.595,125.96,174203.0,4.0,spotify:track:78W8wiUIlQ2SnWY9TVowKZ,78W8wiUIlQ2SnWY9TVowKZ,9
The Heart Wants What It Wants,Selena Gomez,0.616,0.789,7.0,-4.874,0.0,0.0377,0.053,0.0,0.142,0.621,83.066,227373.0,4.0,spotify:track:2jcPoPin36hyNRSi4ZsqeB,2jcPoPin36hyNRSi4ZsqeB,1
Dynamite,Taio Cruz,0.751,0.783,4.0,-3.724,1.0,0.0859,0.00379,0.0,0.036,0.816,119.975,202613.0,4.0,spotify:track:2CEgGE6aESpnmtfiZwYlbV,2CEgGE6aESpnmtfiZwYlbV,9
Bumpy Ride,Mohombi,0.709,0.854,0.0,-4.447,0.0,0.0399,0.047,0.0,0.0724,0.826,105.074,224402.0,4.0,spotify:track:0tBRo4P60DgKmg4jt48upm,0tBRo4P60DgKmg4jt48upm,2
Danza Kuduro (feat. Don Omar),Lucenzo,0.706,0.89,0.0,-6.575,1.0,0.0847,0.0855,0.0,0.0465,0.896,130.051,202347.0,4.0,spotify:track:1kAZhbcsXqfUjnVeqPywn2,1kAZhbcsXqfUjnVeqPywn2,9
Syypää sun hymyyn (feat. Yasmine Yamajako),Cheek,0.472,0.815,9.0,-4.002,0.0,0.319,0.171,0.0,0.265,0.81,98.017,230413.0,4.0,spotify:track:2N2QvMYwyYHE8V4KZbbG4i,2N2QvMYwyYHE8V4KZbbG4i,1
